,q05,q10,q50,q90,q95
-90,-0.0038562559552113335,-0.002705714094441853,0.0003116571349313207,0.0033376358354868644,0.004214765380574554
-89,-0.004901337958758459,-0.0036080241930839425,0.00065340449682053,0.0048535220412205,0.006104858512018355
-88,-0.005617930028408812,-0.004151011546299889,0.0009717970126893391,0.006060787987564644,0.007604951790528649
-87,-0.006464447217844485,-0.004689367781495407,0.0013268338679626505,0.007164032820707568,0.009119665739396583
-86,-0.007191820406229941,-0.005313612508638392,0.0017095136384473325,0.008395259915340594,0.010212447027455114
-85,-0.00775064060727275,-0.005622652217243283,0.0021353416998793505,0.009242050114378944,0.011465489377483784
-84,-0.008165680010142007,-0.005817962801091982,0.0025441154902057185,0.010245873731446658,0.012304051236237871
-83,-0.008440519006547182,-0.005820264503036247,0.002576666619979015,0.011056634970462791,0.013169439737328205
-82,-0.008351865833543536,-0.006040907316199248,0.0029135556015057068,0.011528488204448947,0.014012658161514749
-81,-0.009045044981893399,-0.006062017462417452,0.0031925767357485575,0.012614009128057923,0.015103143180279695
-80,-0.009104222372674216,-0.006508495424453129,0.0035683769531241194,0.013102193531205062,0.016143178334160572
-79,-0.009468293194338779,-0.006447375118241756,0.004012278632116097,0.014209544441718746,0.01678813413409593
-78,-0.00975311737963294,-0.006486018129967804,0.00448394532030503,0.014903859409214912,0.017565087562041073
-77,-0.009966213308968701,-0.006543334049434959,0.004803010704223375,0.015193692728695784,0.018424601434560386
-76,-0.01019940485480699,-0.006272359808701074,0.004875029665414152,0.015778415315790443,0.019066766423491886
-75,-0.010172667796266332,-0.006410034668459841,0.005158402884172043,0.01643248566429495,0.01979799091671339
-74,-0.010290740537953556,-0.00699396890598755,0.005459508695792856,0.016873448778607445,0.020720443558657584
-73,-0.010386374060059787,-0.006991996658737392,0.005663167531317979,0.018098470875241787,0.02125130474335393
-72,-0.010843712383260366,-0.007364679460235901,0.006073376661802558,0.018649367528626372,0.022358205634715682
-71,-0.010784563945798624,-0.006530228484764518,0.006318750943080648,0.019198950050100538,0.023398286727449813
-70,-0.010894211432083365,-0.006874466280112848,0.006345381000930253,0.01981423819715296,0.024046474977270912
-69,-0.01105886422990023,-0.006739906756136231,0.006687632378241756,0.020705926922593355,0.024860294627105366
-68,-0.011061922357391082,-0.0068450218750957656,0.006841058934229179,0.021736197237147988,0.025222098146941346
-67,-0.011361873771320311,-0.0069649659878858634,0.0072043251702344786,0.022453591369735397,0.026223489904821654
-66,-0.011386626110074394,-0.006814829135117707,0.007447401349395302,0.0228765090006863,0.026462428525936887
-65,-0.011939648351205511,-0.0065530980420055365,0.00775319666581893,0.023097581079585112,0.027933303358905544
-64,-0.012033954309353074,-0.006571138856838147,0.008431647819199624,0.02364730525529975,0.02824154992639448
-63,-0.012182744003987948,-0.006893425086957857,0.0085960466942218,0.024495081833937987,0.028971285584939017
-62,-0.012125261728843626,-0.006638654261109003,0.008748324311560463,0.02509091489786928,0.029994970479433267
-61,-0.012351582190209976,-0.0065263152570242565,0.009011726734941092,0.025863017562939794,0.03105545472031696
-60,-0.012872787053248189,-0.0064361600723571765,0.009156458818481579,0.025660670995341646,0.03162386156921438
-59,-0.012833297825146911,-0.006536849392443342,0.009856805879245312,0.026864896760364566,0.03228219036731728
-58,-0.01238796226109891,-0.006268616188469708,0.010019552488866705,0.027182745945772514,0.03311615046000396
-57,-0.012212341403032765,-0.006236385157980919,0.010335059956784066,0.027649847397625743,0.034148153040004535
-56,-0.011215949523565598,-0.006297883705144259,0.010469787892445119,0.028243050928240646,0.034479754191065956
-55,-0.011741640387012888,-0.005928967058372593,0.011030527013283314,0.028806575409149597,0.03521224943466263
-54,-0.011746771731741684,-0.006084647608587916,0.011331383757232895,0.029432931111454674,0.03590156882051831
-53,-0.011264321038307882,-0.005528997398863573,0.011621675065521699,0.02973173351380949,0.0366431684079444
-52,-0.011481011598714645,-0.005614077696893044,0.011611045377619535,0.030114973592760687,0.036866900477992744
-51,-0.011007385580274526,-0.005650116912755537,0.012047720584117398,0.03098170861186663,0.03741290797888135
-50,-0.011358524607545113,-0.005711486078879697,0.01262128471991314,0.03131496458266364,0.03728826270381362
-49,-0.011642459263255597,-0.006019468626074355,0.01291642197887612,0.03211187261266795,0.03834210787128852
-48,-0.011478780000414933,-0.006300444583957936,0.01312795531568564,0.03204034523979132,0.0392985252706776
-47,-0.011067803517156048,-0.006183194973348385,0.013742536594236191,0.03259921393713086,0.04046060049572984
-46,-0.011459529834931544,-0.005904902344959473,0.014280812731941536,0.033575070571272264,0.04125822378675463
-45,-0.01089420330520818,-0.005828332312980793,0.014456772454080006,0.03412569083682561,0.041783447995688464
-44,-0.011622759706050307,-0.005456544316948717,0.014857613149191522,0.03467008646073698,0.042214370906243866
-43,-0.011583368597588652,-0.005688439092323401,0.015148146704799755,0.0352306986030835,0.04270490093945556
-42,-0.01143934418053092,-0.005437381536525095,0.01535064744894472,0.03585665170530712,0.04336378651697987
-41,-0.011234341073451178,-0.005384798312685554,0.015720693974967073,0.036480778128195585,0.0435780310243551
-40,-0.01107849877451648,-0.005541562777116128,0.015933487205375872,0.037165817525117925,0.044453063429843634
-39,-0.011560021149754502,-0.005652667152790459,0.016371182562337612,0.038246536976797724,0.0442898480078089
-38,-0.01127794172470717,-0.004860250593006562,0.016766627486619484,0.03830951944302036,0.04585353881826921
-37,-0.011632435906389177,-0.0048666305135407996,0.0169207262710002,0.039112421865455986,0.04702561942626508
-36,-0.011454946541231461,-0.004810321796485494,0.01711230171716862,0.04003660502800708,0.04635191443944302
-35,-0.01105331636689692,-0.004689469563222346,0.01728827363176154,0.0402437045996125,0.047252368540318064
-34,-0.011300781958571185,-0.0048144206084286155,0.017679889990648075,0.040533168033899517,0.04739446520563236
-33,-0.010445016980762981,-0.004176795504378673,0.01775186018174522,0.041080140567147774,0.04733111995377884
-32,-0.010048204843986096,-0.004264076487921226,0.017928968927674076,0.04162278380571239,0.04814330123961251
-31,-0.010119158193047545,-0.004313261740159841,0.01835197443019511,0.04172877969621172,0.04910400799376345
-30,-0.010199814237915392,-0.004458147410169057,0.018900420816138637,0.0429185354806087,0.04986855247196599
-29,-0.010176117582509732,-0.003975329924897901,0.01900624363260687,0.04373468214542787,0.05081460418859369
-28,-0.010448403945040097,-0.004108261497623982,0.01922828414200603,0.04425547788929725,0.05135113563853954
-27,-0.010966786924020363,-0.0038820415818438363,0.019882847589518155,0.04404818659077653,0.05199927836361045
