year,post_1_90
1930,0.07160039510346228
1934,-0.08378667456448785
1938,-0.13560550331631782
1942,0.1557203741919151
1946,0.02794818304566027
1950,0.10633946730559618
1954,0.07768189162896166
1958,0.08379782265315816
1962,0.11514226267495076
1966,0.10592286848744004
1970,0.1957966946658738
1974,0.14512050908406837
1978,0.07682471179219896
1982,0.10000726926062731
1986,0.170714925097752
1990,0.1941145984923951
1994,0.06547840900161406
1998,0.17602899164516583
2002,-0.053463552866263364
2006,0.03774845573777008
2010,0.08614498771442225
2014,0.030903063697334643
2018,0.02496145112983217
2022,0.045651771987123224
