decile,n,car-30_-1,car0_1,car2_60,n_valid_2_60,t_bmp_2_60
1,13701,-0.03442393140678864,-0.015457837347880782,-0.017721390344414112,13404,-11.328417268915679
2,13679,-0.019104812039439333,-0.008429318879645277,-0.01743876506601667,13362,-11.958088946439627
3,13677,-0.012200317731534922,-0.0060753208317094,-0.018901776362374036,13322,-11.98320551690018
4,13681,-0.010331835992189188,-0.00504380261200341,-0.018325173731570926,13304,-11.713960571439552
5,13688,-0.007387123562276632,-0.0006439155670109435,-0.019614912685994097,13364,-12.033955952627473
6,13671,-0.0031126517871859116,0.001686206388720702,-0.019197568547511614,13353,-12.547864965808287
7,13673,0.00024556513169244433,0.004326796941382357,-0.015992285675565196,13365,-10.110282901659026
8,13683,0.001680234359358948,0.00731564252583314,-0.015076957572796427,13398,-8.17001178803144
9,13668,0.0011330574404303322,0.008973620511151262,-0.014258461177727801,13426,-8.294600878879098
10,13701,0.007210230828873455,0.013798136324340944,-0.01312173146774064,13506,-7.1316704811261316
