reason,count
116 est obs < 120,4
117 est obs < 120,4
119 est obs < 120,4
71 est obs < 120,3
91 est obs < 120,3
87 est obs < 120,3
5 est obs < 120,3
97 est obs < 120,3
41 est obs < 120,2
66 est obs < 120,2
17 est obs < 120,2
47 est obs < 120,2
12 est obs < 120,2
84 est obs < 120,2
78 est obs < 120,2
52 est obs < 120,2
31 est obs < 120,2
2 est obs < 120,2
68 est obs < 120,2
75 est obs < 120,2
95 est obs < 120,2
92 est obs < 120,2
20 est obs < 120,2
90 est obs < 120,2
44 est obs < 120,2
55 est obs < 120,2
39 est obs < 120,2
57 est obs < 120,1
53 est obs < 120,1
96 est obs < 120,1
99 est obs < 120,1
109 est obs < 120,1
70 est obs < 120,1
24 est obs < 120,1
14 est obs < 120,1
54 est obs < 120,1
43 est obs < 120,1
114 est obs < 120,1
16 est obs < 120,1
79 est obs < 120,1
40 est obs < 120,1
35 est obs < 120,1
4 est obs < 120,1
25 est obs < 120,1
28 est obs < 120,1
80 est obs < 120,1
34 est obs < 120,1
63 est obs < 120,1
36 est obs < 120,1
111 est obs < 120,1
8 est obs < 120,1
42 est obs < 120,1
65 est obs < 120,1
60 est obs < 120,1
22 est obs < 120,1
76 est obs < 120,1
61 est obs < 120,1
118 est obs < 120,1
11 est obs < 120,1
104 est obs < 120,1
103 est obs < 120,1
26 est obs < 120,1
82 est obs < 120,1
33 est obs < 120,1
105 est obs < 120,1
38 est obs < 120,1
27 est obs < 120,1
94 est obs < 120,1
56 est obs < 120,1
23 est obs < 120,1
107 est obs < 120,1
