decile,n,car_m30_m1,t_m30_m1,car_0_1,t_0_1,car_2_60,t_2_60
1,2666,-0.0019113428746914604,-1.181779571534657,-0.005277829361927065,-6.359247077824137,0.020294715605267976,5.250766345553597
2,2639,-0.0029303752964056477,-2.4348533925660907,-0.003363898206055482,-4.629031173321626,0.0069603349640949335,1.109623742873784
3,2633,0.001963865427934587,0.3010631647989211,-0.0010573022924867238,-1.4271371504828265,0.008946065014872327,2.16568235197685
4,2637,0.0019306501942983152,-0.20251281939724172,-0.0011656916727415736,-2.262251534817558,0.0012803277192046643,-0.9752632784949291
5,2643,-0.0004575146725054326,-0.375439355799056,-0.0012963532286111596,-1.7161674199014725,-0.0038648212163183734,-2.3247670168570758
6,2626,-0.0028620499452843844,-1.636823696475637,0.00027604312142920736,0.7957378307844678,-0.011160410209515175,-5.691552309963671
7,2631,0.0014520974875203401,1.1367836301977878,0.0013201262858652109,1.9571668484357534,-0.009385183750108824,-4.818680893147299
8,2639,-0.001697281813428182,-1.7358948524626372,0.0013559961930578988,1.919379086814927,-0.01512747804676696,-7.152122100579418
9,2633,-0.004216552641961979,-1.8949259888608316,0.0018155695865092107,2.62048356251019,-0.019289958295377278,-8.171228459211811
10,2662,-0.0009688714490562455,-0.03258617546911265,0.0016011072627588416,2.8809678876050744,-0.02089356639786628,-8.491370734791571
