decile,n,car_m30_m1,t_m30_m1,car_0_1,t_0_1,car_2_60,t_2_60
1,3448,-0.001561692414999439,-1.299046419373503,-0.005624146233012106,-7.029921806565135,0.02265977016256548,5.705954187245876
2,3420,-0.0021659608269107753,-2.0718238427373303,-0.00421924191615968,-5.2523315027148145,0.012844414704930139,3.019003032294041
3,3410,0.0009247312184676025,-0.21841250375508445,-0.002115543313341338,-2.6059642682275803,0.008660022440076963,2.6462028642695588
4,3416,0.0020328250583266107,0.4710079145691462,-0.0010627397724307893,-1.6080247717763492,0.005337034731405723,0.5469197983511005
5,3427,0.0032433306346537254,1.2909740118908137,-0.0004065668697211412,-0.6707635861672956,-0.005914120512859724,-2.5294312904058214
6,3411,-0.001342006098054013,-0.7305862030963807,0.0011404228421938347,1.7036167290607467,-0.010282389277710862,-6.257244777281254
7,3408,0.001615416793578704,1.4338058500887676,0.002446797808986021,3.0758901712629547,-0.01190040064151273,-5.363559753721266
8,3418,-0.001457779475363332,-0.7271660345622288,0.003109641110252899,3.6147469491090916,-0.012453280077438221,-6.784276438109054
9,3412,-0.0023714555413244685,-1.3066974804074438,0.003385415046168661,4.2218321254640925,-0.017711905300665083,-8.502112178551679
10,3441,0.0011107758825549634,0.239184423531787,0.005223940905547857,5.988194899617639,-0.01861315852328972,-8.469161131352148
