event_session,closure,holiday,ret
1984-04-19,1984-04-20,Easter Monday + Good Friday,-0.006987929671223747
1984-05-04,1984-05-07,Early May Bank Holiday,-0.006570302233902758
1984-05-25,1984-05-28,Spring Bank Holiday,0.0037086577639842133
1984-08-24,1984-08-27,Summer Bank Holiday,0.005642378802785064
1984-12-24,1984-12-25,Boxing Day + Christmas Day,0.00041504110589007936
1984-12-31,1985-01-01,New Year's Day,0.005385097680653983
1985-04-04,1985-04-05,Easter Monday + Good Friday,0.002902377651519794
1985-05-03,1985-05-06,Early May Bank Holiday,0.0013750277761019891
1985-05-24,1985-05-27,Spring Bank Holiday,-0.008677280296012002
1985-08-23,1985-08-26,Summer Bank Holiday,0.0029014651979828443
1985-12-24,1985-12-25,Boxing Day + Christmas Day,0.002088452012854791
1985-12-31,1986-01-01,New Year's Day,-0.0007074137077467402
1986-03-27,1986-03-28,Easter Monday + Good Friday,0.009009023637532865
1986-05-02,1986-05-05,Early May Bank Holiday,0.007560529601027932
1986-05-23,1986-05-26,Spring Bank Holiday,0.011633709668429582
1986-08-22,1986-08-25,Summer Bank Holiday,0.00018666090907282218
1986-12-24,1986-12-25,Boxing Day + Christmas Day,0.0025287200374126684
1986-12-31,1987-01-01,New Year's Day,0.0035264027853423308
1987-04-16,1987-04-17,Easter Monday + Good Friday,0.01415049106915478
1987-05-01,1987-05-04,Early May Bank Holiday,0.008778346744696464
1987-05-22,1987-05-25,Spring Bank Holiday,0.0064076004740660775
1987-08-28,1987-08-31,Summer Bank Holiday,0.0017365314181843061
1987-12-24,1987-12-25,Boxing Day + Christmas Day,0.011121119397292212
1987-12-31,1988-01-01,New Year's Day,-0.026082522525572083
1988-03-31,1988-04-01,Easter Monday + Good Friday,-0.008196268549125363
1988-04-29,1988-05-02,Early May Bank Holiday,-0.0012192824276323622
1988-05-27,1988-05-30,Spring Bank Holiday,-0.0008962625959150206
1988-08-26,1988-08-29,Summer Bank Holiday,-0.005336479193669419
1988-12-23,1988-12-26,Boxing Day + Christmas Day,0.002996578828768248
