event_session,closure,holiday,ret
1983-02-18,1983-02-21,Washington's Birthday,0.0037981385602343654
1983-03-31,1983-04-01,Good Friday,-0.0028032640817017285
1983-05-27,1983-05-30,Memorial Day,-0.006163820643017681
1983-07-01,1983-07-04,Independence Day,0.005965163467196666
1983-09-02,1983-09-05,Labor Day,0.00468857268764955
1983-11-23,1983-11-24,Thanksgiving,0.0007193141849122231
1983-12-23,1983-12-26,Christmas Day,-0.0018956617189982428
1983-12-30,1984-01-02,New Year's Day,0.00042455456248058354
1984-02-17,1984-02-20,Washington's Birthday,-0.0024979144139600784
1984-04-19,1984-04-20,Good Friday,0.0007600404092178437
1984-05-25,1984-05-28,Memorial Day,0.002578849439043074
1984-07-03,1984-07-04,Independence Day,0.0032637076368149387
1984-08-31,1984-09-03,Labor Day,0.000480111460595678
1984-11-21,1984-11-22,Thanksgiving,0.002010000278818147
1984-12-24,1984-12-25,Christmas Day,0.0075524140020943875
1984-12-31,1985-01-01,New Year's Day,0.005894448566746702
1985-02-15,1985-02-18,Washington's Birthday,-0.004440532549377929
1985-04-04,1985-04-05,Good Friday,-0.00044666311642049816
1985-05-24,1985-05-27,Memorial Day,0.0036779699369331453
1985-07-03,1985-07-04,Independence Day,-0.0029165021332983043
1985-08-30,1985-09-02,Labor Day,-0.0015878251447537517
1985-11-27,1985-11-28,Thanksgiving,0.009318757832514457
1985-12-24,1985-12-25,Christmas Day,-0.006856249145867799
1985-12-31,1986-01-01,New Year's Day,0.0028479500872158336
1986-02-14,1986-02-17,Washington's Birthday,0.01085556888964434
1986-03-27,1986-03-28,Good Friday,0.007037497460887332
1986-05-23,1986-05-26,Memorial Day,0.005122484638265146
1986-07-03,1986-07-04,Independence Day,-0.0036011225686550796
1986-08-29,1986-09-01,Labor Day,0.0003559418572776085
1986-11-26,1986-11-27,Thanksgiving,0.002417722157966651
1986-12-24,1986-12-25,Christmas Day,0.0016643812137877578
1986-12-31,1987-01-01,New Year's Day,-0.00493075141684729
1987-02-13,1987-02-16,Washington's Birthday,0.01480305189073472
1987-04-16,1987-04-17,Good Friday,0.008683733650339587
1987-05-22,1987-05-25,Memorial Day,0.00710279522789925
1987-07-02,1987-07-03,Independence Day,0.008879654122028846
1987-09-04,1987-09-07,Labor Day,-0.010961491963748737
1987-11-25,1987-11-26,Thanksgiving,-0.009294181142926128
1987-12-24,1987-12-25,Christmas Day,-0.004463599567333998
1987-12-31,1988-01-01,New Year's Day,-0.0031469328547412134
1988-02-12,1988-02-15,Washington's Birthday,0.006563813067401725
1988-03-31,1988-04-01,Good Friday,0.0031774607701255952
1988-05-27,1988-05-30,Memorial Day,-0.00475201936403391
1988-07-01,1988-07-04,Independence Day,-0.006288852726519689
