election,party,cycle_year,year,ret
1928,R,1,1929,-0.11909649170836001
1928,R,2,1930,-0.2848485031715339
1928,R,3,1931,-0.47066494101766876
1928,R,4,1932,-0.14778322982482572
1932,D,1,1933,0.4407514677902016
1932,D,2,1934,-0.0471414497934487
1932,D,3,1935,0.41368424265008197
1932,D,4,1936,0.27922560795138573
1936,D,1,1937,-0.3859138531239439
1936,D,2,1938,0.24549764035667598
1936,D,3,1939,-0.051750402390311256
1936,D,4,1940,-0.1508828337628566
1940,D,1,1941,-0.17863897513722382
1940,D,2,1942,0.12428088947418958
1940,D,3,1943,0.19447282799464438
1940,D,4,1944,0.13796055236946825
1944,D,1,1945,0.3072289879080845
1944,D,2,1946,-0.11866361446948026
1944,D,3,1947,0.0
1944,D,4,1948,-0.006535972563600612
1948,D,1,1949,0.10460533725092702
1948,D,2,1950,0.21679566355962354
1948,D,3,1951,0.1634850760007931
1948,D,4,1952,0.11779550623214319
1952,R,1,1953,-0.06624012981169436
1952,R,2,1954,0.4502216975710711
1952,R,3,1955,0.26403557867887417
1952,R,4,1956,0.026165317473318295
1956,R,1,1957,-0.14313256380034423
1956,R,2,1958,0.3805950679467285
1956,R,3,1959,0.08476725924257433
1956,R,4,1960,-0.029721135372135832
1960,D,1,1961,0.2312855326147094
1960,D,2,1962,-0.1180992902477469
1960,D,3,1963,0.1889064731726422
1960,D,4,1964,0.1296987975516375
1964,D,1,1965,0.09061947262744274
1964,D,2,1966,-0.13090986080461509
1964,D,3,1967,0.20092118787191282
1964,D,4,1968,0.07660411833873271
1968,R,1,1969,-0.11361450974786258
1968,R,2,1970,0.0009776664096461385
1968,R,3,1971,0.1078675490767107
1968,R,4,1972,0.15633271903589674
1972,R,1,1973,-0.1736552263451614
1972,R,2,1974,-0.297180979869192
1972,R,3,1975,0.31549016413436615
1972,R,4,1976,0.19148460112623034
1976,D,1,1977,-0.11501954881495535
1976,D,2,1978,0.010620422212785918
1976,D,3,1979,0.12308814645643151
1976,D,4,1980,0.2577356997979632
1980,R,1,1981,-0.09730400699458619
1980,R,2,1982,0.14761318553578895
1980,R,3,1983,0.1727104194507032
1980,R,4,1984,0.014006020250809215
1984,R,1,1985,0.263334081796194
1984,R,2,1986,0.14620408731597978
1984,R,3,1987,0.020275028695685204
1984,R,4,1988,0.1240084149367906
1988,R,1,1989,0.2725046534031901
1988,R,2,1990,-0.06559137825727013
1988,R,3,1991,0.2630670304526097
1988,R,4,1992,0.04464263175974903
1992,D,1,1993,0.07055156263296869
1992,D,2,1994,-0.015392910291473272
1992,D,3,1995,0.34110655477087093
1992,D,4,1996,0.20263666170303285
1996,D,1,1997,0.3100818174657085
1996,D,2,1998,0.2666858915596535
1996,D,3,1999,0.19526046658878404
1996,D,4,2000,-0.10139184665858436
2000,R,1,2001,-0.13042693172742603
2000,R,2,2002,-0.23365963957103564
2000,R,3,2003,0.2638039993281984
2000,R,4,2004,0.08993452410946756
2004,R,1,2005,0.030010226581274946
2004,R,2,2006,0.136194317382607
2004,R,3,2007,0.035295730663479574
2004,R,4,2008,-0.38485793060906714
2008,D,1,2009,0.2345419048834072
2008,D,2,2010,0.12782713853760175
2008,D,3,2011,-3.183666393691276e-05
2008,D,4,2012,0.1340569092662105
2012,D,1,2013,0.2960124957332435
2012,D,2,2014,0.11390633786748117
2012,D,3,2015,-0.007265997205823549
2012,D,4,2016,0.09535022667283655
2016,R,1,2017,0.1941996552328793
2016,R,2,2018,-0.0623725984962068
2016,R,3,2019,0.2887807022515845
2016,R,4,2020,0.16258923055706176
2020,D,1,2021,0.2689273866137125
2020,D,2,2022,-0.1944282720342927
2020,D,3,2023,0.24230500797629895
2020,D,4,2024,0.23309002343424012
2024,R,1,2025,0.1638780638006745
2024,R,2,2026,0.11854210510097873
