year,post_1_60,pre_m60_0,winner_party,incumbent_party
1928,0.15287768226264387,0.15233163991074794,R,R
1932,-0.0635838225967339,-0.09067017675620026,D,R
1936,0.03270221944029217,0.09829870389830453,D,D
1940,-0.07599626484923505,0.050632860848244476,D,D
1944,0.05873263164814757,0.012519550137338742,D,D
1948,-0.04582551675617108,-0.00994405505871776,D,D
1952,0.07580060127483867,-0.03330722438177469,R,D
1956,-0.06835069367406432,-0.04033407081038576,R,R
1960,0.1158084918540534,-0.02312039140167521,D,R
1964,0.02865870870211573,0.04006839426876452,D,D
1968,0.003679722040913047,0.039665707634970904,R,D
1972,0.0027349377341108205,0.012505596820392428,R,R
1976,9.8137131182785e-05,-0.018017176318400607,D,R
1980,-0.03365566212837856,0.062454503540036566,R,D
1984,0.04823661195971707,0.03016567252085034,R,R
1988,0.07930222717877933,0.047990884362376196,R,R
1992,0.044913280502188346,0.002482831676849484,D,R
1996,0.10084851292298525,0.07859846092947853,D,D
2000,-0.054166884415431715,-0.027156465126185192,R,D
2004,0.03608824356360296,0.06258643544856723,R,R
2008,-0.17927914248928034,-0.22414986911284418,D,R
2012,0.04712994742240029,0.018663294270577113,D,D
2016,0.07151002814128105,-0.020370407838523064,R,D
2020,0.12011902250704498,0.005335239865422725,D,R
2024,0.04411736394515886,0.08207082058760107,R,D
