year,winner,winner_party,incumbent_party,note
1928,Hoover,R,R,
1932,Roosevelt,D,R,
1936,Roosevelt,D,D,
1940,Roosevelt,D,D,
1944,Roosevelt,D,D,
1948,Truman,D,D,
1952,Eisenhower,R,D,
1956,Eisenhower,R,R,
1960,Kennedy,D,R,
1964,Johnson,D,D,
1968,Nixon,R,D,
1972,Nixon,R,R,
1976,Carter,D,R,
1980,Reagan,R,D,
1984,Reagan,R,R,
1988,Bush,R,R,
1992,Clinton,D,R,
1996,Clinton,D,D,
2000,Bush,R,D,result unresolved until 2000-12-12 (Bush v. Gore); winner not knowable at +1
2004,Bush,R,R,
2008,Obama,D,R,
2012,Obama,D,D,
2016,Trump,R,D,
2020,Biden,D,R,called by networks 2020-11-07; winner not knowable at +1
2024,Trump,R,D,
